"","BA","DA","PR","DS","RD","DE"
"MEAQ_1",0.31,0.09,-0.09,0.03,-0.01,0.02
"MEAQ_8",0.36,-0.08,0.04,0,0.07,0.04
"MEAQ_39",0.33,0.05,0.04,0.14,-0.04,0.01
"MEAQ_51",0.44,0.06,0.03,0.02,0.01,0
"MEAQ_55",0.38,0.08,0.06,-0.01,0.06,0.05
"MEAQ_2",0.06,0,-0.04,0.07,0.06,0.34
"MEAQ_7",0.12,-0.15,0.14,-0.02,0.07,0.22
"MEAQ_25",-0.01,-0.03,0.06,0.08,0.01,0.45
"MEAQ_31",0.04,0.14,-0.04,0.02,-0.1,0.32
"MEAQ_44",0.01,0.07,0.02,-0.04,0.02,0.43
"MEAQ_5",0.04,0.63,-0.03,0.02,-0.01,0.03
"MEAQ_17",-0.04,0.55,0.1,0.02,0.05,0
"MEAQ_30_r",-0.06,0.27,0.03,-0.02,0.48,-0.04
"MEAQ_36",0.07,0.61,0.02,0.04,0.03,0.02
"MEAQ_42",0.1,0.38,0.18,-0.05,0.08,0.02
"MEAQ_9",0.03,0.03,-0.05,0.64,-0.05,-0.04
"MEAQ_22",-0.04,0.03,0,0.74,-0.01,-0.01
"MEAQ_27",0.06,0.02,0.07,0.35,-0.02,0.18
"MEAQ_33",-0.01,0.03,-0.01,0.7,0.02,0.05
"MEAQ_40",0.06,-0.07,0.06,0.66,0.02,0.01
"MEAQ_35",0,0.03,0.48,0.06,-0.02,0.04
"MEAQ_41",-0.01,0.07,0.6,0,0.01,0.03
"MEAQ_52",0.02,0.05,0.52,-0.06,-0.09,-0.04
"MEAQ_56",0.01,-0.03,0.67,0.04,0.03,-0.01
"MEAQ_60",0.03,-0.03,0.56,-0.03,0.04,0.02
"MEAQ_12_r",0.01,-0.04,0.03,0,0.66,-0.01
"MEAQ_37_r",-0.05,0.06,0.04,-0.03,0.63,0.02
"MEAQ_43_r",0.1,-0.04,-0.05,0.02,0.64,-0.02
"MEAQ_57_r",0.02,0.03,-0.05,-0.06,0.6,0.1
"MEAQ_62_r",-0.01,0,0.03,0.03,0.68,-0.02
